GLCode,ACCOUNTS,ACT2,AHMED        ,AKSHAYR,ALISON,ANDRIESD,ARISH        ,ARNOVM,ASHLEYC,ASHMEERD,AUTH1,BABALWA      ,BHAVANAM,BILAL,BOB,BONGAZ       ,BRADLEYJ,BRENTON,BUKELANI,CARL,CAROLT,CELESCIA,CHARLESE     ,CHARLESM,CHLAUTH,CHLBUY,CHLREQ,CHRISK,CHRISTIAAN   ,CHRISV       ,CLAUDES      ,CPTREQ,CRAIG        ,DANIELLEM    ,DARREL       ,DAVID        ,DAVIDS,DAVIDW       ,DENISES,DINESH,DONOVAN      ,DURVESHB     ,EDGARL       ,EDUANM,EUGENEJ      ,EVNBUY,EVNREQ,FORTUNATE    ,FRANCOIS,FRIKKIE      ,GARYW        ,GEOFFREY     ,GEORGE,GERTR,GRAHAMT      ,HANNELIE     ,HEINRICHE    ,HENDRIKL     ,HENNIEC,HENNIEVD,HENRYK,HLONIPHANI   ,HUGOB,IT           ,JAROD,JAUNM        ,JIVESHS,JOASHM,JOHANK       ,JOHANNESB,JOHNJ        ,JPVAN,KAREN,KARISAN,KARLC,KATED        ,KELSEYL,KESHNEE      ,KEVIN        ,KUBEN        ,LAURENCE     ,LEONI COMBRINK,LEONIEC,LINDA,LINETTE      ,LIZELLE      ,LUVUYO,MARKB,MARKD,MARKO        ,MARKS,MARLENEG,MARTINB,MATTHEWG     ,MBUSELENIZ   ,MERINDAG,MIKEH,MONAN        ,MOSESM,MTHOBISI,MTHOKOZISI,MUDDASAR     ,NAZEERE,NEIL,NELLIED,NIRVANA,NISHANC,NIZAAMA      ,NJABULOM,NJAUBLOM,NKULULEKOL,NOMCEBON,NOMFUNEKAM,NONKU,NTUTHUKO     ,OWENP        ,OWENR,PAULC,PETER        ,PHILIPV,PMBBUYER,PMBREQ,REGINALD,RICKS,ROBERT       ,RYANB        ,SAGREEM,SANDILES,SANELEN,SAROJ,SCHALKVL     ,SERVESHAN,SHAMLAG,SHANEG,SHANTALN,STANLEYT,STEPHANR,STRINI,SUEJ,TEGAN,TERENCE      ,THEMBENIN,THEOLAN      ,TKW1REQ,TKWAUTH,TKWAUTH1,TKWEMERG,TKWREQ,TRACEYH      ,TRACYS       ,UMHAUTH,UMHBUY,UMHGRN,UMHREQ,VANESSAA     ,WILHELMW,YOLISA       ,YURI,ZAHEER
CHLCHLADM401900,,1,,,,,,,,,,,1,,1,1,,,,1,1,,,,1,1,1,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM402401,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM402800,,1,,,,,,,,,,,1,,,1,,,,1,1,,,,1,1,1,,,,,,1,,,1,1,,1,1,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM403100,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM404400,,1,,,1,,,,,,,,1,,,1,,,,1,1,,,,1,1,1,,,,,,1,,,1,1,,1,1,,,,1,,,,1,,,1,,,1,,1,1,,,,1,,,,1,,,,,,,,1,,,1,1,,,,,,1,,,1,,1,,,1,1,,1,,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,1,,,1,,1
CHLCHLADM510100,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM510201,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM510400,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM510701,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM510702,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM510803,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM510805,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM510900,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520100,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520200,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520300,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520402,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520403,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520405,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520500,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520601,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520602,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520603,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520701,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520702,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520703,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520705,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM520800,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM540100,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM540400,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1
CHLCHLADM540600,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM550100,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM550201,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM560100,,1,,,1,,,,,,,,1,,,1,,,,1,1,,,,1,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,1,,1
CHLCHLADM570101,,1,,,1,,,,,,,,1,,,1,,,,1,1,,,,1,1,1,,,,,,1,,,1,1,,1,1,1,,,,,,,1,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,,,,,,1,,,1,,1,,,1,1,,1,1,1,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,1,,,1,,1
CHLCHLADM570102,1,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,1,1,,1,1,1,,,,,,,1,,,1,,,1,,1,1,,,,1,,,,1,,,,,,,,1,,,1,1,,,,,,1,,,,,1,,,1,1,,1,1,1,,,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,,1,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,1
