GLCode,ACCOUNTS,ACT2,AHMED        ,AKSHAYR,ALISON,ANDRIESD,ARISH        ,ARNOVM,ASHLEYC,ASHMEERD,AUTH1,BABALWA      ,BHAVANAM,BILAL,BOB,BONGAZ       ,BRADLEYJ,BRENTON,BUKELANI,CARL,CAROLT,CELESCIA,CHARLESE     ,CHARLESM,CHLAUTH,CHLBUY,CHLREQ,CHRISK,CHRISTIAAN   ,CHRISV       ,CLAUDES      ,CPTREQ,CRAIG        ,DANIELLEM    ,DARREL       ,DAVID        ,DAVIDS,DAVIDW       ,DENISES,DINESH,DONOVAN      ,DURVESHB     ,EDGARL       ,EDUANM,EUGENEJ      ,EVNBUY,EVNREQ,FORTUNATE    ,FRANCOIS,FRIKKIE      ,GARYW        ,GEOFFREY     ,GEORGE,GERTR,GRAHAMT      ,HANNELIE     ,HEINRICHE    ,HENDRIKL     ,HENNIEC,HENNIEVD,HENRYK,HLONIPHANI   ,HUGOB,IT           ,JAROD,JAUNM        ,JIVESHS,JOASHM,JOHANK       ,JOHANNESB,JOHNJ        ,JPVAN,KAREN,KARISAN,KARLC,KATED        ,KELSEYL,KESHNEE      ,KEVIN        ,KUBEN        ,LAURENCE     ,LEONI COMBRINK,LEONIEC,LINDA,LINETTE      ,LIZELLE      ,LUVUYO,MARKB,MARKD,MARKO        ,MARKS,MARLENEG,MARTINB,MATTHEWG     ,MBUSELENIZ   ,MERINDAG,MIKEH,MONAN        ,MOSESM,MTHOBISI,MTHOKOZISI,MUDDASAR     ,NAZEERE,NEIL,NELLIED,NIRVANA,NISHANC,NIZAAMA      ,NJABULOM,NJAUBLOM,NKULULEKOL,NOMCEBON,NOMFUNEKAM,NONKU,NTUTHUKO     ,OWENP        ,OWENR,PAULC,PETER        ,PHILIPV,PMBBUYER,PMBREQ,REGINALD,RICKS,ROBERT       ,RYANB        ,SAGREEM,SANDILES,SANELEN,SAROJ,SCHALKVL     ,SERVESHAN,SHAMLAG,SHANEG,SHANTALN,STANLEYT,STEPHANR,STRINI,SUEJ,TEGAN,TERENCE      ,THEMBENIN,THEOLAN      ,TKW1REQ,TKWAUTH,TKWAUTH1,TKWEMERG,TKWREQ,TRACEYH      ,TRACYS       ,UMHAUTH,UMHBUY,UMHGRN,UMHREQ,VANESSAA     ,WILHELMW,YOLISA       ,YURI,ZAHEER
CHLCHLLAB570106,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,,,,,,1,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB570203,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,1,,,,,,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB570301,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,,,,,,,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB570302,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,,,,,,,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB570402,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,1,,,1,,,,1,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,1,,,,,,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB570403,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,1,,,,1,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,1,,,,,,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB570601,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,1
CHLCHLLAB570602,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,1
CHLCHLLAB570603,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,1
CHLCHLLAB570701,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,1,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,,,,,,,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB580102,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,1,,,1,,,,,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,,,,,,,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,,,,,,,1,,,1,1,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB601100,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,1
CHLCHLLAB601200,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,1,,,1,,,,1,,,,,,1,,1,1,,,,1,,,1,1,,,,,1,,,1,,,1,1,1,,,,,,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB601201,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,1,,,1,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,1,,,1,,,1,1,,,,1,1,,1,,,,,1,,,1,1,,,,,,,,1,,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB601300,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,1,,,,1,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,1,,,,,1,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,,,,,,1,,,1,1,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB601301,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,1,,,1,,,,1,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,1,,,,,1,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB601500,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,1,,,,1,,,,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,1,,,,,1,,,1,,,,,1,1,,,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,1,,1
CHLCHLLAB601901,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,1
CHLCHLLAB601902,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,1,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,1
CHLCHLLAB601903,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,1
CHLCHLMGT401401,1,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT402500,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT402501,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT402600,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT402700,1,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT402900,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT402901,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT402902,1,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520100,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520300,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520401,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520402,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520500,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520601,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520602,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520701,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520703,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520705,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT520800,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570104,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,1,,,,1,1,,1,,,,,,,,1,1,,,,,1,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570105,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,1,1,,,,,1,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570201,1,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,1,1,,,,,1,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570301,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,,1,,,,,1,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570402,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,1,1,,,,,1,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570403,1,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,1,1,,,,,1,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570601,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570602,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570603,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570605,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,1,1,,,,,1,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT570701,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,1,1,,,,,1,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT600100,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,1,,,,,,,,1,1,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT600300,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT600700,1,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,1,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT601201,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,1,1,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT601400,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT601500,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,1,1,,,,,1,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT601901,1,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT601902,1,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT601903,1,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT602002,1,,,,,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,,,1,,,,1,,1,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT602100,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,,,,,1,1,,,,,1,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMGT602101,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,1,,,,,1,1,,1,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLMTN301200,,1,,,,,,,,,1,,1,,,1,,,,1,1,1,,,1,1,1,,,,,,1,,,1,1,,1,1,,,,,,,,1,,,1,,,1,,1,1,,,,1,,,,1,,,,,,,,1,,,1,1,,,,,,,,,1,,1,,,1,1,,1,1,1,,1,1,,,,1,1,1,1,,,,,1,,,,1,,,1,,1,,,1,1,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,1,,,1,,1
CHLCHLMTN301300,,1,,,,,,,,,1,,1,,,,,,,1,1,,,,1,1,1,,,,,,1,,,1,1,,1,1,1,,,1,,,,1,,,1,,,1,,,1,,,,1,,,,1,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,1,,1,1,,,1,1,,,,1,1,1,1,,,,,1,,,,1,,,1,,1,,,1,1,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,1,,,1,,1
